id,created_at,bar_start,slug,meta_checkpoint_minute,meta_bar_start_utc,meta_minutes_remaining,meta_data_age_s,meta_feeds_healthy_binance_spot,meta_feeds_healthy_binance_perp,meta_feeds_healthy_coinbase,meta_feeds_healthy_polymarket,meta_feeds_healthy_liq_stream,candle_state_open,candle_state_last,candle_state_high,candle_state_low,candle_state_cushion_usd,candle_state_cushion_sign,candle_state_cushion_atr1m,candle_state_expected_remaining_move_usd,candle_state_reachability_ratio,candle_state_high_low_position,candle_state_time_above_open_pct,candle_state_max_adverse_excursion_usd,flaa_depth_flip_path_usd,flaa_depth_continuation_usd,flaa_path_asymmetry_ratio,flaa_flip_path_consumed_180s_usd,flaa_flip_path_replenish_ratio,flaa_iceberg_refill_count,flaa_est_flow_to_flip_usd,flaa_flow_to_flip_minutes_at_current_rate,flaa_defended,tape_cvd_candle_usd,tape_cvd_delta_1m,tape_cvd_delta_3m,tape_cvd_slope_r2,tape_cvd_trajectory,tape_sweep_events_3m_buy_sweeps,tape_sweep_events_3m_sell_sweeps,tape_sweep_events_3m_largest_sweep_usd,tape_sweep_events_3m_largest_sweep_side,tape_sweep_events_3m_sweep_price_impact_bps,tape_efficiency_3m,tape_absorption_flag,tape_absorption_side,tape_absorption_strength,tape_large_print_net_3m_usd,perp_spot_divergence_basis_usd_now,perp_spot_divergence_basis_delta_3m,perp_spot_divergence_perp_cvd_minus_spot_cvd_5m_usd,perp_spot_divergence_leader_venue_3m,perp_spot_divergence_oi_delta_candle_pct,perp_spot_divergence_oi_price_regime,perp_spot_divergence_funding_rate,liquidations_long_liq_usd_5m,liquidations_short_liq_usd_5m,liquidations_net_liq_pressure_sign,liquidations_cascade_flag,liquidations_nearest_liq_cluster_above_usd,liquidations_nearest_liq_cluster_below_usd,cross_venue_coinbase_premium_usd,cross_venue_coinbase_premium_slope_3m,cross_venue_venue_cvd_agreement,cross_venue_us_spot_leading,htf_context_trend_1h_dir,htf_context_trend_1h_adx,htf_context_trend_1h_price_vs_ema50,htf_context_vwap_stack_above_session_vwap,htf_context_vwap_stack_above_24h_vwap,htf_context_vwap_stack_vwap_compression,htf_context_key_levels_nearest_above_type,htf_context_key_levels_nearest_above_dist_usd,htf_context_key_levels_nearest_below_type,htf_context_key_levels_nearest_below_dist_usd,htf_context_key_levels_inside_value_area,polymarket_implied_prob_up,polymarket_yes_book_best_bid,polymarket_yes_book_best_ask,polymarket_yes_book_depth_usd_2c,polymarket_sharp_flow_flag,polymarket_model_vs_market_edge,empirical_prior_lookback_days,empirical_prior_bucket,empirical_prior_hold_rate,empirical_prior_n_samples,empirical_prior_hold_rate_minute11_same_bucket,empirical_prior_bucket_computed_at,ensemble_p_up,ensemble_conviction_tier,ensemble_tier_definition_high,ensemble_tier_definition_med,ensemble_tier_definition_low,ensemble_signal_agreement_count,ensemble_disagreement_index,ensemble_dominant_factors,ensemble_polymarket_edge_pct,outcome
f57abaab-465c-4885-8d0d-c65fa2771cb4,2026-06-15 20:31:00.488108+00,2026-06-15 20:30:00 UTC,btc-updown-5m-1781555400,1,2026-06-15 20:30:00 UTC,14,0.2,TRUE,TRUE,TRUE,TRUE,FALSE,66578,66637.99,66637.99,66577.99,60,1,1.862,121,0.498,1,0.867,0,11231230,27236703,0.412,0,0,0,14039037,99,FALSE,200816,200816,451220,,,1,0,63790,buy,0.75,15.506,FALSE,,0,0,-27.24,5.49,1903051,none,0.002,neutral,-0.00003955,,,,,66650,66600,-27.29,14.486,0,FALSE,up,44.427,3.245,TRUE,TRUE,1.391,poc_4h,199.51,round_66500,137.99,FALSE,0.745,0.74,0.75,1556,,7.1,30,cushion_>1.5atr__cvd3m_confirming__min1,0.7063,290,0.9446,1.78E+12,0.8159,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,5_of_7,0.29,"[""tape_sweeps"",""flaa_asymmetry"",""candle_cushion""]",7.1,up
125ebff7-1c7b-464b-96e3-753513bc869e,2026-06-15 14:46:00.015+00,2026-06-15 14:45:00 UTC,btc-updown-5m-1781534700,1,2026-06-15 14:45:00 UTC,14,0.3,TRUE,TRUE,TRUE,TRUE,FALSE,66536.09,66590,66594.71,66536.09,54,1,1.175,172,0.314,0.92,0.951,0,9061101,19551926,0.463,0,0,0,11326376,99,FALSE,241320,241320,1059059,,,6,0,313588,buy,1.11,3.141,FALSE,,0,500610,-29.44,10.51,2110929,none,0.001,neutral,-0.00005938,,,,,66600,66500,-45.33,7.302,1,TRUE,up,45.116,4.408,TRUE,TRUE,2.273,day_high,359.22,round_66500,90,FALSE,0.675,0.67,0.68,1755,,11.6,30,cushion_1.0-1.5atr__cvd3m_confirming__min1,0.6551,249,0.784,1.78E+12,0.7914,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,6_of_7,0.14,"[""tape_sweeps"",""flaa_asymmetry"",""cross_venue_flow""]",11.6,up
5df433ce-79f2-4e1f-94f8-f84594e1c41d,2026-06-15 15:31:00.014+00,2026-06-15 15:30:00 UTC,btc-updown-5m-1781537400,1,2026-06-15 15:30:00 UTC,14,0.3,TRUE,TRUE,TRUE,TRUE,FALSE,66658,66695.99,66695.99,66630,38,1,1.195,119,0.319,1,0.381,-28,4755974,13724832,0.347,0,0,0,5944967,6.535,FALSE,-28000,-28000,-3262,,,2,0,120213,buy,1.2,44.905,FALSE,,0,170941,-36.64,4.27,-4364174,none,0.026,neutral,-0.00006273,,,,,66750,66650,-41.05,10.215,0,TRUE,up,45.684,4.477,TRUE,TRUE,2.243,day_high,253.23,poc_4h,83.49,FALSE,0.645,0.64,0.65,1156,,4.7,30,cushion_1.0-1.5atr__cvd3m_flat__min1,0.5708,81,0.7571,1.78E+12,0.6921,MED,>=0.72 or <=0.28,0.60-0.72,<0.60,6_of_7,0.14,"[""tape_sweeps"",""flaa_asymmetry"",""htf_trend""]",4.7,down
1c42f258-516c-4c78-9bf0-225d728c0260,2026-06-16 01:31:00.539658+00,2026-06-16 01:30:00 UTC,btc-updown-5m-1781573400,1,2026-06-16 01:30:00 UTC,14,0.8,TRUE,TRUE,TRUE,TRUE,FALSE,66376.67,66405.96,66405.96,66370,29,1,1.108,99,0.296,1,0.333,-7,2480826,10798478,0.23,0,0,0,3101032,99,FALSE,43098,43098,164999,,,2,0,43242,buy,0.7,9.795,FALSE,,0,0,-38.51,5.64,56881,none,0.014,neutral,-0.00002406,,,,,66450,66300,-43.63,1.255,1,TRUE,up,32.981,2.482,TRUE,TRUE,0.157,day_high,57.3,vwap_24h,42.75,TRUE,0.605,0.6,0.61,517,,16.7,30,cushion_1.0-1.5atr__cvd3m_confirming__min1,0.6527,250,0.7899,1.78E+12,0.7721,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,6_of_7,0.14,"[""tape_sweeps"",""flaa_asymmetry"",""cross_venue_flow""]",16.7,up
3da71d42-712f-4f93-87fb-d94e6ab11c37,2026-06-16 00:46:00.510169+00,2026-06-16 00:45:00 UTC,btc-updown-5m-1781570700,1,2026-06-16 00:45:00 UTC,14,1.9,TRUE,TRUE,TRUE,TRUE,FALSE,66414.53,66413.67,66414.53,66392.87,1,-1,0.026,123,0.007,0.96,0,0,311173,339339,0.917,0,0,0,388967,0.382,FALSE,417049,417049,500769,,,1,0,372444,buy,1.1,6.472,FALSE,,0,539264,-36.12,0.78,5333744,none,0.001,neutral,-0.0000141,,,,,66450,66300,-40.39,4.333,1,TRUE,up,35.084,2.513,TRUE,TRUE,0.068,day_high,49.59,session_vwap,60.24,TRUE,0.475,0.47,0.48,690,,18.8,30,cushion_<0.5atr__cvd3m_diverging__min1,0.5352,344,0.5301,1.78E+12,0.663,MED,>=0.72 or <=0.28,0.60-0.72,<0.60,5_of_7,0.29,"[""tape_sweeps"",""cross_venue_flow"",""htf_trend""]",18.8,down
9a2af774-7b6e-4c34-8b87-ec2ffe656d97,2026-06-16 12:16:00.506029+00,2026-06-16 12:15:00 UTC,btc-updown-5m-1781612100,1,2026-06-16 12:15:00 UTC,14,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,66556.53,66622,66635.86,66556.53,65,1,1.75,140,0.468,0.825,0.979,0,10677219,24014745,0.445,0,0,0,13346524,99,FALSE,1016303,1016303,1535698,,,9,6,348382,buy,0.6,4.474,FALSE,,0,441513,-33.94,4.28,2643620,none,0.013,neutral,-0.00001518,,,,,66650,66600,-49.99,4.54,1,FALSE,up,23.256,2.106,TRUE,TRUE,1.524,day_high,370,poc_4h,9.5,TRUE,0.705,0.7,0.71,338,,6.6,30,cushion_>1.5atr__cvd3m_confirming__min1,0.7028,293,0.9437,1.78E+12,0.7705,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,6_of_7,0.14,"[""flaa_asymmetry"",""candle_cushion"",""htf_trend""]",6.6,up
30de05f3-9eac-4125-8a7f-d8be5edde604,2026-06-15 15:01:00.018+00,2026-06-15 15:00:00 UTC,btc-updown-5m-1781535600,1,2026-06-15 15:00:00 UTC,14,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,66591.54,66648,66648,66580.42,56,1,1.643,129,0.439,1,0.867,-11,8538731,20824393,0.41,0,0,0,10673413,99,FALSE,653726,653726,1641423,,,8,3,539226,buy,0.9,0.76,FALSE,,0,911005,-36.74,-2.06,7135022,none,0.007,neutral,-0.00005825,,,,,66650,66600,-41.53,4.629,0,FALSE,up,45.116,4.178,TRUE,TRUE,2.269,day_high,301.22,round_66500,148,FALSE,0.685,0.68,0.69,1468,,4.2,30,cushion_>1.5atr__cvd3m_confirming__min1,0.7009,291,0.944,1.78E+12,0.7272,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,4_of_7,0.43,"[""flaa_asymmetry"",""tape_sweeps"",""candle_cushion""]",4.2,up
0054523b-d70b-4bf9-81ef-32db97f1ba13,2026-06-15 13:16:00.016+00,2026-06-15 13:15:00 UTC,btc-updown-5m-1781529300,1,2026-06-15 13:15:00 UTC,14,0.3,TRUE,TRUE,TRUE,TRUE,FALSE,66618.66,66679.65,66683.68,66600,61,1,1.042,219,0.278,0.952,0.18,-19,5945500,24705594,0.241,0,0,0,7431875,1.376,FALSE,1222835,1218667,1505866,,,5,2,405605,buy,0.83,1.666,FALSE,,0,178343,-33.51,-0.26,-15471315,none,0.069,new_longs,-0.0000622,,,,,66750,66650,-39.74,-0.172,1,FALSE,up,43.691,4.966,TRUE,TRUE,2.93,day_high,19.7,round_66500,179.65,FALSE,0.575,0.57,0.58,429,,15.1,30,cushion_1.0-1.5atr__cvd3m_confirming__min1,0.6551,249,0.784,1.78E+12,0.7257,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,6_of_7,0.14,"[""flaa_asymmetry"",""tape_sweeps"",""perp_new_longs""]",15.1,up
e6065b30-be3a-4846-a5f1-eacadb4e8632,2026-06-15 19:16:00.524861+00,2026-06-15 19:15:00 UTC,btc-updown-5m-1781550900,1,2026-06-15 19:15:00 UTC,14,0.6,TRUE,TRUE,TRUE,TRUE,FALSE,66853.99,66886.01,66889.85,66853.99,32,1,1.168,103,0.312,0.893,0.867,0,2024195,13349471,0.152,0,0,0,2530244,99,FALSE,33364,33364,-307208,,,3,1,72202,buy,0.52,1.262,FALSE,,0,0,-42.65,-12.71,1900466,none,0.004,neutral,-0.00005182,,,,,66900,66850,-25.19,-2.551,0,FALSE,up,46.38,4.1,TRUE,TRUE,1.583,round_67000,113.99,poc_4h,48.51,FALSE,0.605,0.6,0.61,1013,,3.6,30,cushion_1.0-1.5atr__cvd3m_diverging__min1,0.6429,108,0.737,1.78E+12,0.6407,MED,>=0.72 or <=0.28,0.60-0.72,<0.60,4_of_7,0.43,"[""flaa_asymmetry"",""tape_sweeps"",""htf_trend""]",3.6,down
fd4b520e-e629-4f07-a712-9498b021655f,2026-06-15 16:31:00.017+00,2026-06-15 16:30:00 UTC,btc-updown-5m-1781541000,1,2026-06-15 16:30:00 UTC,14,1.1,TRUE,TRUE,TRUE,TRUE,FALSE,67186,67234,67234,67186,48,1,1.013,177,0.271,1,1,0,6725652,19178858,0.351,0,0,0,8407064,6.384,FALSE,109318,109318,-399983,,,2,1,126381,sell,1.17,12.088,FALSE,,0,-126904,-34.64,6.71,-746396,none,0.013,neutral,-0.0000676,,,,,67400,67150,-33.18,7.935,0,TRUE,up,46.919,5.318,TRUE,TRUE,2.015,day_high,58.15,round_67000,234,FALSE,0.645,0.64,0.65,1319,,6.9,30,cushion_1.0-1.5atr__cvd3m_diverging__min1,0.6504,108,0.737,1.78E+12,0.7143,MED,>=0.72 or <=0.28,0.60-0.72,<0.60,6_of_7,0.14,"[""flaa_asymmetry"",""htf_trend"",""tape_sweeps""]",6.9,up
3f5fd7dd-07c4-4b00-9319-8cbafafa0bd2,2026-06-16 17:01:00.476389+00,2026-06-16 17:00:00 UTC,btc-updown-5m-1781629200,1,2026-06-16 17:00:00 UTC,14,0.3,TRUE,TRUE,TRUE,TRUE,FALSE,65758.07,65796,65796,65758.07,38,1,1.159,122,0.31,1,0.977,0,7965137,13525358,0.589,0,0,0,9956421,99,FALSE,-216605,-216605,-875966,,,1,1,25450,sell,0.64,1.46,FALSE,,0,-801839,-23.35,0.96,4338197,none,-0.004,neutral,0.00002608,,,,,65850,65500,-62.71,-1.203,-1,FALSE,down,21.163,-0.085,FALSE,FALSE,0.031,round_66000,204,poc_4h,58.5,TRUE,0.635,0.63,0.64,1257,,-1.3,30,cushion_1.0-1.5atr__cvd3m_diverging__min1,0.646,112,0.7305,1.78E+12,0.6218,MED,>=0.72 or <=0.28,0.60-0.72,<0.60,3_of_7,0.57,"[""flaa_asymmetry"",""candle_cushion"",""perp_basis""]",-1.3,down
b34922dd-9013-4f3e-b945-c372132d83f6,2026-06-16 12:01:00.524453+00,2026-06-16 12:00:00 UTC,btc-updown-5m-1781611200,1,2026-06-16 12:00:00 UTC,14,0.3,TRUE,TRUE,TRUE,TRUE,FALSE,66481.73,66484,66490.98,66446.73,2,1,0.087,98,0.023,0.842,0.238,-35,17447,631500,0.028,0,0,0,21809,99,FALSE,106360,106360,1122764,,,5,0,140286,buy,0.36,1.904,FALSE,,0,503350,-30.04,0.25,15246625,none,0,neutral,-0.00001541,,,,,66500,66450,-48.64,-0.989,1,FALSE,up,23.759,1.745,TRUE,FALSE,1.53,round_66500,16,prior_day_close,155.26,TRUE,0.515,0.51,0.52,634,,10.7,30,cushion_<0.5atr__cvd3m_confirming__min1,0.5429,453,0.6147,1.78E+12,0.6215,MED,>=0.72 or <=0.28,0.60-0.72,<0.60,6_of_7,0.14,"[""tape_sweeps"",""flaa_asymmetry"",""htf_trend""]",10.7,down
8e578e24-05c4-404b-9272-ba969e2f5007,2026-06-16 13:31:00.46352+00,2026-06-16 13:30:00 UTC,btc-updown-5m-1781616600,1,2026-06-16 13:30:00 UTC,14,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,66019.2,66119.99,66132,66014.48,101,1,1.782,212,0.476,0.898,1,-5,26180844,41833170,0.626,0,0,0,32726055,99,FALSE,-95735,-95735,-1235478,,,3,11,150690,sell,0.74,0.202,FALSE,,0,-125626,-25.24,7.93,4679045,none,0.002,neutral,-0.00003056,,,,,66150,65850,-60.14,4.668,-1,FALSE,up,23.243,0.74,FALSE,FALSE,1.135,session_vwap,157.15,round_66000,119.99,TRUE,0.695,0.69,0.7,1276,,-8.7,30,cushion_>1.5atr__cvd3m_diverging__min1,0.6343,83,0.9127,1.78E+12,0.6081,MED,>=0.72 or <=0.28,0.60-0.72,<0.60,4_of_7,0.43,"[""tape_sweeps"",""candle_cushion"",""flaa_asymmetry""]",-8.7,down
4fc40ba8-b559-457b-9493-bae360a521e5,2026-06-16 15:31:00.475872+00,2026-06-16 15:30:00 UTC,btc-updown-5m-1781623800,1,2026-06-16 15:30:00 UTC,14,0.6,TRUE,TRUE,TRUE,TRUE,FALSE,65814.01,65889.99,65890,65814,76,1,1.32,215,0.353,1,0.953,0,13883143,28149533,0.493,0,0,0,17353929,99,FALSE,88705,89642,254223,,,4,3,83356,sell,1,35.289,FALSE,,0,0,-20.04,9.91,2835359,none,0.004,neutral,-0.00000971,,,,,66150,65850,-55,-2.957,1,FALSE,up,21.433,0.134,FALSE,FALSE,0.022,round_66000,110.01,poc_4h,152.49,FALSE,0.695,0.69,0.7,1191,,1.5,30,cushion_1.0-1.5atr__cvd3m_confirming__min1,0.6465,248,0.7807,1.78E+12,0.7099,MED,>=0.72 or <=0.28,0.60-0.72,<0.60,6_of_7,0.14,"[""flaa_asymmetry"",""candle_cushion"",""perp_basis""]",1.5,up
35b9ccef-dbbc-4dcd-a846-f271b4e7faf6,2026-06-16 17:46:00.546227+00,2026-06-16 17:45:00 UTC,btc-updown-5m-1781631900,1,2026-06-16 17:45:00 UTC,14,1.7,TRUE,TRUE,TRUE,TRUE,FALSE,65750.92,65785.12,65788,65740,34,1,1.169,109,0.312,0.94,0.8,-11,3063262,12121208,0.253,0,0,0,3829077,99,FALSE,84301,84343,459557,,,6,0,70484,buy,1.31,8.387,FALSE,,0,0,-27.86,1.82,1142029,none,0,neutral,0.00004064,,,,,65850,65500,-56.66,1.746,0,FALSE,down,20.913,-0.106,FALSE,FALSE,0.036,round_66000,214.88,poc_4h,47.62,TRUE,0.615,0.61,0.62,671,,8.3,30,cushion_1.0-1.5atr__cvd3m_confirming__min1,0.6478,249,0.7807,1.78E+12,0.6977,MED,>=0.72 or <=0.28,0.60-0.72,<0.60,4_of_7,0.43,"[""tape_sweeps"",""flaa_asymmetry"",""candle_cushion""]",8.3,up
7beadb11-f0e4-40c3-b351-45d4401642cf,2026-06-15 22:01:00.549972+00,2026-06-15 22:00:00 UTC,btc-updown-5m-1781560800,1,2026-06-15 22:00:00 UTC,14,0.6,TRUE,TRUE,TRUE,TRUE,FALSE,66368.15,66398.08,66415.93,66368.14,30,1,1.273,88,0.34,0.626,0.795,0,1353015,10570764,0.128,0,0,0,1691269,99,FALSE,1485152,1485152,1726665,,,1,1,39899,sell,0.24,0.312,FALSE,,0,403565,-36.13,1.49,-2997604,none,-0.002,neutral,-0.00002675,,,,,66450,66300,-34.5,-1.951,1,FALSE,up,42.614,2.356,TRUE,TRUE,0.667,round_66500,101.92,session_vwap,87.32,TRUE,0.625,0.62,0.63,475,,5.3,30,cushion_1.0-1.5atr__cvd3m_confirming__min1,0.6564,250,0.7899,1.78E+12,0.6782,MED,>=0.72 or <=0.28,0.60-0.72,<0.60,5_of_7,0.29,"[""flaa_asymmetry"",""candle_cushion"",""htf_trend""]",5.3,up
60bcc33b-8bb8-4ce0-9483-6b999b1a0d31,2026-06-15 19:31:00.453262+00,2026-06-15 19:30:00 UTC,btc-updown-5m-1781551800,1,2026-06-15 19:30:00 UTC,14,0.4,TRUE,TRUE,TRUE,TRUE,FALSE,66530.54,66580,66580,66530,49,1,0.787,235,0.21,1,0.889,-1,6814704,17486956,0.39,0,0,0,8518379,7.772,FALSE,173583,173583,-863204,,,4,5,246319,sell,1.13,5.865,FALSE,,0,36211,-30.04,4,382431,none,0.017,neutral,-0.00005366,,,,,66600,66500,-32.12,8.549,0,TRUE,up,46.38,3.319,TRUE,TRUE,1.374,poc_4h,257.5,round_66500,80,FALSE,0.655,0.65,0.66,1709,,-1.3,30,cushion_0.5-1.0atr__cvd3m_diverging__min1,0.6167,232,0.6701,1.78E+12,0.6422,MED,>=0.72 or <=0.28,0.60-0.72,<0.60,5_of_7,0.29,"[""flaa_asymmetry"",""htf_trend"",""perp_basis""]",-1.3,up
